user_id,age,gender,device_model,operating_system,youtube_mins_daily,social_media_mins_daily,gaming_mins_daily,productivity_mins_daily,streaming_mins_daily,total_app_usage_mins,screen_on_hours,battery_drain_mah,data_usage_mb,num_apps_installed,peak_usage_hour,night_usage_pct,app_switches_per_hour,avg_session_duration_mins,num_sessions_daily,user_profile,age_group
107,31,Female,Realme 11 Pro,Android,24.6,95.3,33.8,36.8,0.0,190.5,4.09,796,847,59,20,0.106,8.6,15.9,12,social_butterfly,26-35
108,64,Female,Xiaomi Redmi Note 12,Android,187.2,76.2,34.4,10.6,123.1,431.6,8.52,1514,4552,51,8,0.227,10.5,25.5,16,content_consumer,45+
109,48,Male,Motorola Edge 40,Android,16.1,167.4,11.4,26.6,55.4,276.9,5.85,1128,1631,59,21,0.229,7.9,17.6,15,social_butterfly,45+
110,21,Female,OnePlus 11,Android,81.2,279.7,5.7,44.4,81.9,492.8,9.3,1509,3189,58,21,0.204,11.1,17.6,27,social_butterfly,18-25
111,61,Male,Google Pixel 8,Android,132.6,49.0,14.2,22.1,79.0,296.9,6.37,1024,3053,67,16,0.291,10.5,39.2,7,content_consumer,45+
112,43,Male,Xiaomi Redmi Note 12,Android,20.0,173.7,24.8,32.0,11.7,262.3,5.28,1144,1136,50,21,0.28,11.6,5.8,45,social_butterfly,36-45
113,26,Female,iPhone 13,iOS,17.2,228.4,5.0,78.3,42.0,370.9,7.03,1332,1702,46,12,0.104,11.9,8.4,44,social_butterfly,26-35
114,55,Male,Realme 11 Pro,Android,37.6,153.3,36.5,28.3,19.3,275.0,5.57,916,1466,41,20,0.128,8.2,16.2,16,social_butterfly,45+
115,59,Male,Google Pixel 8,Android,28.3,188.1,10.7,14.0,27.9,269.1,5.74,949,1543,67,21,0.104,8.9,16.3,16,social_butterfly,45+
116,14,Male,Xiaomi 13,Android,40.8,80.7,304.9,13.2,145.8,585.4,10.36,1952,3615,54,23,0.34,4.1,47.2,12,gamer,<18
117,48,Male,Xiaomi Redmi Note 12,Android,35.7,5.2,0.0,233.2,6.6,280.6,5.79,943,739,35,15,0.141,6.3,36.8,7,productivity_focused,45+
118,55,Male,Google Pixel 8,Android,24.0,12.5,15.0,179.5,29.5,260.5,4.96,979,962,55,16,0.113,5.1,26.8,9,productivity_focused,45+
119,37,Female,OnePlus 11,Android,44.3,8.6,273.9,12.6,58.6,397.9,8.12,1343,2164,73,21,0.414,3.3,40.4,9,gamer,36-45
120,38,Male,Samsung Galaxy S23,Android,21.4,23.7,5.9,146.9,0.0,197.9,4.55,936,589,34,9,0.094,6.8,10.9,18,productivity_focused,36-45
121,46,Male,Google Pixel 8,Android,14.5,27.3,9.0,167.1,33.8,251.6,4.97,892,919,44,11,0.119,7.1,29.6,8,productivity_focused,45+
122,24,Male,Xiaomi 13,Android,69.4,110.3,112.0,51.7,20.8,364.3,6.95,1403,1792,58,21,0.273,11.0,11.3,32,mixed_user,18-25
123,38,Female,Motorola Edge 40,Android,37.8,21.1,18.4,204.8,25.6,307.6,6.19,1034,1107,43,14,0.133,5.5,17.9,17,productivity_focused,36-45
124,45,Male,iPhone 14,iOS,189.3,84.0,0.0,4.2,47.3,324.7,6.66,1279,3312,61,11,0.113,5.6,17.2,18,content_consumer,36-45
125,42,Male,iPhone SE,iOS,47.0,21.3,28.6,223.0,12.9,332.8,6.54,1280,1172,32,15,0.059,9.0,25.5,13,productivity_focused,36-45
126,24,Female,Xiaomi 13,Android,35.2,187.2,30.4,10.3,28.3,291.3,5.53,1131,1544,43,20,0.226,6.6,16.8,17,social_butterfly,18-25
127,56,Female,iPhone 13,iOS,85.2,67.5,98.1,68.7,51.8,371.4,7.05,1263,2354,40,19,0.221,12.4,24.1,15,mixed_user,45+
128,32,Male,Realme 11 Pro,Android,40.4,189.8,25.1,51.7,25.6,332.5,6.61,1276,1606,48,21,0.179,10.7,13.0,25,social_butterfly,26-35
129,53,Male,Samsung Galaxy S23,Android,41.8,55.3,60.6,61.9,43.9,263.5,5.62,1145,1651,65,15,0.282,8.0,29.1,9,mixed_user,45+
130,57,Female,iPhone 15,iOS,78.8,59.2,4.1,28.8,133.4,304.4,5.67,984,3250,51,22,0.184,11.6,30.1,10,content_consumer,45+
131,14,Female,Samsung Galaxy S23,Android,40.4,111.7,9.1,164.1,45.0,370.4,7.2,1252,1689,38,11,0.103,8.4,27.3,13,productivity_focused,<18
132,33,Female,Samsung Galaxy A54,Android,225.7,54.8,0.3,35.7,76.6,393.1,7.46,1429,4218,71,20,0.155,11.4,22.9,17,content_consumer,26-35
133,60,Male,Motorola Edge 40,Android,26.7,137.4,23.6,0.0,8.3,196.0,4.41,697,1051,58,20,0.278,9.5,10.1,19,social_butterfly,45+
134,23,Male,Samsung Galaxy A54,Android,237.5,115.6,81.0,1.5,66.3,501.9,9.85,1523,4550,44,8,0.121,8.7,14.1,35,content_consumer,18-25
135,58,Male,Motorola Edge 40,Android,79.9,34.4,0.0,14.7,86.3,215.2,4.98,853,2464,56,11,0.299,8.8,14.6,14,content_consumer,45+
136,46,Male,OnePlus 11,Android,46.8,39.5,144.0,25.6,36.0,291.8,6.07,1178,1652,93,21,0.262,2.7,65.0,4,gamer,45+
137,25,Female,Google Pixel 8,Android,0.0,65.0,98.5,133.5,18.1,315.2,6.15,1027,869,58,19,0.271,12.2,20.6,15,mixed_user,18-25
138,33,Female,Motorola Edge 40,Android,74.9,23.0,245.3,11.4,109.0,463.7,8.26,1506,3195,81,21,0.28,4.0,61.3,7,gamer,26-35
139,35,Male,iPhone 13,iOS,0.0,118.4,313.9,17.2,48.4,498.0,9.63,1743,1776,97,22,0.368,2.0,68.4,7,gamer,26-35
140,20,Male,Xiaomi 13,Android,67.8,251.2,52.1,76.7,44.8,492.5,9.64,1471,2476,49,13,0.195,7.5,17.1,28,social_butterfly,18-25
141,42,Female,iPhone 15,iOS,68.8,225.7,35.9,40.3,24.0,394.6,7.83,1396,2019,75,20,0.264,7.8,15.8,24,social_butterfly,36-45
142,16,Male,Google Pixel 8,Android,72.5,247.6,21.8,32.1,36.6,410.7,8.29,1431,2289,55,13,0.101,10.9,8.6,47,social_butterfly,<18
143,14,Male,OnePlus 11,Android,15.3,27.2,242.0,5.6,74.9,365.0,6.9,1293,1979,62,20,0.418,4.6,37.4,9,gamer,<18
144,35,Female,iPhone SE,iOS,63.2,120.5,53.5,136.8,79.5,453.6,8.59,1499,2616,54,9,0.243,9.0,33.3,13,mixed_user,26-35
145,43,Male,Realme 11 Pro,Android,53.4,152.6,15.6,30.3,63.9,315.8,5.83,1268,2276,68,13,0.193,5.9,13.5,23,social_butterfly,36-45
146,16,Female,Samsung Galaxy S23,Android,44.0,90.2,121.0,57.1,77.7,390.0,7.96,1428,2385,66,12,0.123,9.0,17.6,22,mixed_user,<18
147,49,Female,iPhone 13,iOS,23.1,78.4,47.0,55.0,41.9,245.4,4.95,1003,1427,57,23,0.177,8.0,35.8,6,mixed_user,45+
148,49,Female,iPhone 15,iOS,131.9,33.7,27.8,14.4,174.2,381.9,7.74,1273,4548,73,8,0.259,5.9,32.1,11,content_consumer,45+
149,56,Male,OnePlus 11,Android,26.9,68.1,33.9,86.1,38.7,253.8,4.84,935,1271,77,17,0.209,8.9,22.4,11,mixed_user,45+
150,59,Male,Samsung Galaxy S23,Android,38.6,23.5,189.7,21.2,61.0,334.0,6.11,1074,2017,89,21,0.386,4.3,34.6,9,gamer,45+
151,53,Male,iPhone 15,iOS,48.7,114.0,0.0,35.1,64.7,262.5,5.85,1090,2033,62,18,0.105,7.8,9.5,27,social_butterfly,45+
152,53,Female,iPhone SE,iOS,69.2,29.0,54.7,22.6,72.3,247.8,5.21,982,2317,59,15,0.289,5.5,21.0,11,content_consumer,45+
153,56,Female,Realme 11 Pro,Android,11.6,107.1,17.7,37.6,68.1,242.1,5.48,849,1587,65,21,0.158,9.4,11.7,20,social_butterfly,45+
154,62,Male,Xiaomi 13,Android,147.7,27.3,38.5,29.8,97.4,340.8,6.94,1311,3529,69,21,0.209,11.3,30.2,11,content_consumer,45+
155,23,Female,Xiaomi 13,Android,200.5,101.0,0.0,26.9,171.0,499.4,8.9,1720,5478,68,13,0.103,11.7,25.6,19,content_consumer,18-25
156,20,Male,iPhone 15,iOS,29.0,179.6,69.3,90.2,16.2,384.3,7.57,1341,1488,61,18,0.292,13.5,21.3,18,mixed_user,18-25
157,55,Male,Realme 11 Pro,Android,31.7,36.2,236.0,15.7,24.7,344.2,6.64,1347,1463,76,23,0.382,4.1,58.9,5,gamer,45+
158,32,Female,iPhone 15,iOS,13.6,0.0,20.1,145.8,36.9,216.3,4.67,1004,1025,55,11,0.092,5.2,35.2,6,productivity_focused,26-35
159,17,Male,Samsung Galaxy S22,Android,44.6,40.6,0.0,279.2,33.2,397.5,7.88,1447,1404,36,11,0.064,10.3,34.7,11,productivity_focused,<18
160,62,Male,Xiaomi 13,Android,113.5,21.8,50.9,96.0,42.4,324.7,6.12,1149,2277,76,16,0.173,13.8,11.4,28,mixed_user,45+
161,41,Female,Realme 11 Pro,Android,11.0,43.5,11.1,232.6,16.4,314.5,5.78,1143,704,57,16,0.105,11.8,16.8,18,productivity_focused,36-45
162,32,Male,Xiaomi 13,Android,3.3,260.9,37.3,25.0,68.3,394.8,7.38,1224,2035,53,21,0.264,12.0,11.1,35,social_butterfly,26-35
163,34,Male,Google Pixel 8,Android,88.5,248.9,26.3,13.8,19.2,396.8,7.89,1372,2251,56,12,0.154,10.0,16.4,24,social_butterfly,26-35
164,13,Female,Realme 11 Pro,Android,274.8,31.0,34.3,15.9,98.8,454.7,8.2,1379,5030,68,20,0.272,9.7,14.7,30,content_consumer,<18
165,61,Female,iPhone 13,iOS,152.6,43.8,0.0,18.9,108.2,323.5,6.63,1248,3737,79,9,0.103,10.9,12.9,25,content_consumer,45+
166,41,Female,iPhone 14,iOS,44.0,52.5,243.5,15.1,30.2,385.2,7.64,1448,1716,84,21,0.274,5.5,78.5,4,gamer,36-45
167,56,Male,Xiaomi Redmi Note 12,Android,26.3,35.8,2.5,218.6,41.7,324.8,6.75,1068,1215,57,11,0.113,7.7,15.7,20,productivity_focused,45+
168,18,Male,Samsung Galaxy S22,Android,121.4,219.1,62.4,19.3,0.0,422.2,8.22,1550,2416,43,20,0.114,10.1,6.7,62,social_butterfly,<18
